month  ;     ME1;     ME2;     ME3;     ME4;     ME5;     ME6;     ME7;     ME8;     ME9;    ME10
1947-08;0.074656;0.081180;0.093397;0.111590;0.114200;0.111325;0.103627;0.120533;0.103023;0.086468
1947-09;0.383924;0.400000;0.001278;0.000000;0.214798;0.000000;0.000000;0.000000;0.000000;0.000000
1947-10;0.232969;0.220149;0.000000;0.000000;0.253493;0.000000;0.000000;0.000000;0.000000;0.293388
1947-11;0.007534;0.002733;0.008099;0.000000;0.000000;0.400000;0.000000;0.400000;0.094342;0.087292
1947-12;0.200000;0.400000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.400000
1948-01;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000
1948-02;0.000000;0.000000;0.000000;0.000000;0.207145;0.391390;0.000478;0.400000;0.000413;0.000574
1948-03;0.086635;0.069946;0.105567;0.122142;0.101335;0.130944;0.114418;0.101472;0.069992;0.097551
1948-04;0.073311;0.072617;0.077228;0.084656;0.099069;0.115605;0.102776;0.090225;0.100519;0.183993
1948-05;0.024491;0.026424;0.052211;0.078907;0.046214;0.076619;0.076320;0.158184;0.233981;0.226649
1948-06;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000
1948-07;0.400000;0.400000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
1948-08;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.400000;0.025000;0.400000;0.025000
1948-09;0.400000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.400000
1948-10;0.000037;0.000143;0.000087;0.042378;0.138028;0.131913;0.082778;0.127295;0.244750;0.232591
1948-11;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.269799;0.000000;0.330201;0.400000
1948-12;0.068587;0.074703;0.073203;0.117523;0.096070;0.102764;0.111868;0.123694;0.103856;0.127732
1949-01;0.087902;0.076111;0.109065;0.128940;0.138757;0.151009;0.105075;0.120864;0.061115;0.021161
1949-02;0.040739;0.042429;0.046942;0.068863;0.061706;0.087048;0.089838;0.169225;0.163731;0.229479
1949-03;0.057994;0.054105;0.094262;0.177083;0.071522;0.400000;0.000000;0.145035;0.000000;0.000000
1949-04;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000
1949-05;0.043404;0.038921;0.071184;0.076077;0.066505;0.084175;0.084171;0.160823;0.146879;0.227861
1949-06;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000
1949-07;0.400000;0.400000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
1949-08;0.105193;0.000000;0.000000;0.000000;0.133649;0.239282;0.061806;0.064162;0.104429;0.291479
1949-09;0.374380;0.292269;0.127643;0.000000;0.000000;0.000000;0.033047;0.000000;0.029914;0.142747
1949-10;0.127691;0.124832;0.270542;0.000000;0.400000;0.000000;0.042702;0.000000;0.034232;0.000000
1949-11;0.026111;0.400000;0.000000;0.000000;0.000000;0.089917;0.011801;0.390183;0.013931;0.068058
1949-12;0.005832;0.005184;0.286853;0.000000;0.207033;0.025759;0.000000;0.000000;0.400000;0.069339
1950-01;0.014344;0.010396;0.400000;0.000000;0.175261;0.000000;0.000000;0.000000;0.400000;0.000000
1950-02;0.180184;0.000000;0.000000;0.000000;0.267478;0.000000;0.000000;0.000000;0.400000;0.152338
1950-03;0.400000;0.000000;0.000000;0.164687;0.263510;0.008259;0.000000;0.002223;0.048535;0.112785
1950-04;0.034334;0.047189;0.000000;0.400000;0.051539;0.000000;0.019196;0.000000;0.400000;0.047741
1950-05;0.083635;0.000000;0.000000;0.222313;0.052003;0.382190;0.037504;0.000000;0.084560;0.137794
1950-06;0.057824;0.000000;0.155357;0.313711;0.042452;0.000000;0.015581;0.000000;0.400000;0.015074
1950-07;0.030168;0.255560;0.000000;0.159343;0.000000;0.087953;0.366234;0.000000;0.100742;0.000000
1950-08;0.072980;0.220913;0.000000;0.000000;0.266693;0.400000;0.014552;0.024862;0.000000;0.000000
1950-09;0.000000;0.000000;0.000000;0.074535;0.073438;0.135788;0.077265;0.178362;0.177654;0.282957
1950-10;0.289134;0.017743;0.000000;0.000000;0.097637;0.000000;0.000000;0.000000;0.400000;0.195487
1950-11;0.219571;0.305683;0.000000;0.000000;0.000000;0.077857;0.315270;0.000000;0.050050;0.031569
1950-12;0.161022;0.180526;0.000000;0.000000;0.060672;0.376736;0.116080;0.000000;0.000000;0.104964
1951-01;0.053493;0.000000;0.000000;0.047093;0.000000;0.037753;0.025012;0.096145;0.373910;0.366594
1951-02;0.005279;0.013797;0.000000;0.400000;0.000000;0.000000;0.024497;0.000000;0.332129;0.224298
1951-03;0.262705;0.065823;0.000000;0.000000;0.332476;0.057659;0.154861;0.000000;0.053926;0.072549
1951-04;0.017752;0.328592;0.000000;0.000000;0.000000;0.321502;0.118440;0.000000;0.213714;0.000000
1951-05;0.080697;0.000000;0.014114;0.096120;0.030840;0.165082;0.052454;0.164140;0.162007;0.234545
1951-06;0.000000;0.000000;0.000000;0.000000;0.074756;0.400000;0.034168;0.000000;0.248910;0.242166
1951-07;0.174762;0.320229;0.000000;0.030895;0.000000;0.240589;0.093378;0.000000;0.086290;0.053858
1951-08;0.000000;0.000000;0.000000;0.078437;0.000000;0.060277;0.062693;0.354073;0.125420;0.319100
1951-09;0.025475;0.014174;0.012531;0.088525;0.060341;0.114176;0.067894;0.164803;0.233575;0.218507
1951-10;0.142972;0.153102;0.153259;0.400000;0.150667;0.000000;0.000000;0.000000;0.000000;0.000000
1951-11;0.274872;0.285167;0.000000;0.000000;0.070078;0.000000;0.126870;0.082689;0.068924;0.091400
1951-12;0.175757;0.100982;0.000000;0.076918;0.000000;0.163671;0.015495;0.243432;0.000000;0.223746
1952-01;0.133680;0.043221;0.000000;0.103383;0.000000;0.025540;0.036923;0.144796;0.400000;0.112457
1952-02;0.016805;0.161869;0.281735;0.138623;0.000000;0.000000;0.000968;0.000000;0.400000;0.000000
1952-03;0.266352;0.132331;0.000000;0.000000;0.223922;0.000000;0.304880;0.000000;0.066195;0.006320
1952-04;0.148927;0.015608;0.064292;0.079652;0.065909;0.101226;0.106610;0.147203;0.113034;0.157538
1952-05;0.076248;0.012570;0.000000;0.099707;0.082592;0.091476;0.000013;0.145931;0.276114;0.215349
1952-06;0.185903;0.175273;0.227799;0.205227;0.159512;0.000000;0.046285;0.000000;0.000000;0.000000
1952-07;0.042745;0.100835;0.000000;0.000000;0.235801;0.009173;0.400000;0.000000;0.000000;0.211445
1952-08;0.214717;0.209380;0.000000;0.000000;0.131708;0.000000;0.321775;0.000000;0.102952;0.019468
1952-09;0.317493;0.346291;0.000000;0.013532;0.000000;0.106556;0.139666;0.061146;0.015002;0.000313
1952-10;0.049568;0.400000;0.000000;0.000000;0.000000;0.045011;0.400000;0.000000;0.010895;0.094525
1952-11;0.358565;0.000000;0.000000;0.000000;0.112920;0.047766;0.000000;0.271841;0.171348;0.037560
1952-12;0.099561;0.000000;0.000000;0.400000;0.000000;0.029894;0.000000;0.133998;0.179374;0.157172
1953-01;0.264131;0.000000;0.000000;0.172833;0.346776;0.000000;0.198110;0.000000;0.018150;0.000000
1953-02;0.159714;0.262366;0.000000;0.000000;0.168985;0.000000;0.392390;0.000000;0.011420;0.005125
1953-03;0.263241;0.202849;0.000000;0.000000;0.045615;0.086898;0.049281;0.168122;0.032166;0.151828
1953-04;0.098523;0.005333;0.400000;0.000000;0.043721;0.000000;0.000000;0.005391;0.400000;0.047031
1953-05;0.240269;0.229620;0.000000;0.000000;0.000000;0.000000;0.206037;0.000000;0.079601;0.244474
1953-06;0.335498;0.000000;0.000000;0.000000;0.270684;0.000000;0.053192;0.337711;0.000000;0.002915
1953-07;0.275094;0.000000;0.000000;0.000000;0.281012;0.384376;0.016865;0.020207;0.011552;0.010893
1953-08;0.400000;0.094905;0.000000;0.118014;0.114361;0.086596;0.078368;0.025548;0.049642;0.032565
1953-09;0.172523;0.030689;0.099300;0.179469;0.159664;0.178565;0.097445;0.043534;0.038811;0.000000
1953-10;0.178387;0.116110;0.267562;0.189094;0.123461;0.048504;0.076881;0.000000;0.000000;0.000000
1953-11;0.117815;0.058844;0.094153;0.092307;0.087607;0.129911;0.000000;0.100509;0.132744;0.186111
1953-12;0.016899;0.292476;0.000000;0.000000;0.078626;0.214583;0.397416;0.000000;0.000000;0.000000
1954-01;0.160754;0.200238;0.000000;0.000000;0.098994;0.000000;0.333801;0.000000;0.206213;0.000000
1954-02;0.010167;0.029277;0.023486;0.097205;0.152581;0.000000;0.200612;0.000000;0.400000;0.086672
1954-03;0.030680;0.000000;0.000000;0.027912;0.029910;0.151251;0.106104;0.000000;0.379247;0.274896
1954-04;0.021841;0.114550;0.301216;0.152590;0.005091;0.000000;0.000000;0.000000;0.400000;0.004712
1954-05;0.051467;0.370178;0.000000;0.000000;0.022098;0.000000;0.172836;0.000000;0.313916;0.069505
1954-06;0.039125;0.125228;0.000000;0.138524;0.199809;0.000000;0.151032;0.000000;0.326056;0.020226
1954-07;0.171730;0.048289;0.024019;0.079576;0.059081;0.000000;0.059427;0.157878;0.400000;0.000000
1954-08;0.017751;0.059183;0.048614;0.000000;0.169767;0.099659;0.266285;0.222158;0.000000;0.116583
