month  ;gross_ret;  net_ret;turnover;turnover_limited
1964-08;-0.009232;-0.009432;0.355425;        0.200000
1964-09; 0.037901; 0.037701;0.289751;        0.200000
1964-10; 0.014808; 0.014608;0.561937;        0.200000
1964-11; 0.001735; 0.001535;0.531607;        0.200000
1964-12; 0.001219; 0.001019;0.969670;        0.200000
1965-01; 0.062415; 0.062215;0.899672;        0.200000
1965-02; 0.028415; 0.028215;0.457676;        0.200000
1965-03; 0.006087; 0.005887;0.605646;        0.200000
1965-04; 0.039687; 0.039487;0.697449;        0.200000
1965-05;-0.006161;-0.006361;0.568913;        0.200000
1965-06;-0.078461;-0.078661;0.572614;        0.200000
1965-07; 0.032424; 0.032224;0.665463;        0.200000
1965-08; 0.053648; 0.053448;0.569857;        0.200000
1965-09; 0.032691; 0.032491;0.684343;        0.200000
1965-10; 0.065959; 0.065759;0.804544;        0.200000
1965-11; 0.033666; 0.033466;0.573169;        0.200000
1965-12; 0.027403; 0.027203;0.393341;        0.200000
1966-01; 0.061359; 0.061159;0.705784;        0.200000
1966-02; 0.020673; 0.020473;0.439131;        0.200000
1966-03;-0.006875;-0.007075;0.529978;        0.200000
1966-04; 0.049167; 0.048967;0.384431;        0.200000
1966-05;-0.074976;-0.075176;0.375039;        0.200000
1966-06;-0.000642;-0.000804;0.162108;        0.162108
1966-07;-0.013168;-0.013368;0.586892;        0.200000
1966-08;-0.089081;-0.089281;0.571592;        0.200000
1966-09;-0.013312;-0.013512;0.364906;        0.200000
1966-10; 0.011457; 0.011257;0.453286;        0.200000
1966-11; 0.036434; 0.036234;0.403972;        0.200000
1966-12; 0.019879; 0.019679;0.641719;        0.200000
1967-01; 0.171950; 0.171750;0.732688;        0.200000
1967-02; 0.007632; 0.007432;0.950879;        0.200000
1967-03; 0.055552; 0.055352;0.601006;        0.200000
1967-04; 0.041727; 0.041527;0.516301;        0.200000
1967-05;-0.009068;-0.009268;0.782486;        0.200000
1967-06; 0.070504; 0.070304;0.792466;        0.200000
1967-07; 0.062052; 0.061852;0.696124;        0.200000
1967-08;-0.001688;-0.001888;0.467722;        0.200000
1967-09; 0.049596; 0.049396;0.254837;        0.200000
1967-10;-0.029699;-0.029899;0.736642;        0.200000
1967-11; 0.006287; 0.006087;0.441796;        0.200000
1967-12; 0.077631; 0.077431;0.560555;        0.200000
1968-01; 0.005721; 0.005521;0.655004;        0.200000
1968-02;-0.060495;-0.060695;0.586780;        0.200000
1968-03;-0.003940;-0.004140;0.573768;        0.200000
1968-04; 0.110526; 0.110326;0.572091;        0.200000
1968-05; 0.055943; 0.055743;0.354847;        0.200000
1968-06; 0.005831; 0.005631;0.631138;        0.200000
1968-07;-0.032507;-0.032707;0.639188;        0.200000
1968-08; 0.029372; 0.029172;0.883998;        0.200000
1968-09; 0.062553; 0.062353;0.322929;        0.200000
1968-10; 0.006313; 0.006113;0.607982;        0.200000
1968-11; 0.071482; 0.071282;0.715848;        0.200000
1968-12;-0.001285;-0.001485;0.788017;        0.200000
1969-01;-0.007434;-0.007634;0.629554;        0.200000
1969-02;-0.085956;-0.086156;0.385800;        0.200000
1969-03; 0.027538; 0.027338;0.600844;        0.200000
1969-04; 0.010690; 0.010490;0.692602;        0.200000
1969-05; 0.001148; 0.000948;0.480112;        0.200000
1969-06;-0.097595;-0.097795;0.306918;        0.200000
1969-07;-0.081357;-0.081557;0.408329;        0.200000
1969-08; 0.057931; 0.057731;0.441012;        0.200000
1969-09;-0.013430;-0.013579;0.148505;        0.148505
1969-10; 0.074524; 0.074324;0.439818;        0.200000
1969-11;-0.064399;-0.064600;0.794503;        0.200000
1969-12;-0.028113;-0.028313;0.627854;        0.200000
1970-01;-0.069889;-0.070089;0.637879;        0.200000
1970-02; 0.056180; 0.055980;0.464381;        0.200000
1970-03;-0.015100;-0.015300;0.434286;        0.200000
1970-04;-0.154165;-0.154365;0.486754;        0.200000
1970-05;-0.098128;-0.098328;0.563951;        0.200000
1970-06;-0.054866;-0.055066;0.265950;        0.200000
1970-07; 0.075806; 0.075606;0.396017;        0.200000
1970-08; 0.064393; 0.064193;0.468291;        0.200000
1970-09; 0.117746; 0.117546;0.771956;        0.200000
1970-10;-0.055760;-0.055960;0.387558;        0.200000
1970-11; 0.008392; 0.008192;0.709205;        0.200000
1970-12; 0.078068; 0.077868;0.605079;        0.200000
1971-01; 0.089342; 0.089142;0.684736;        0.200000
1971-02; 0.030335; 0.030135;0.888438;        0.200000
1971-03; 0.050872; 0.050672;0.698108;        0.200000
1971-04; 0.037196; 0.036996;0.439387;        0.200000
1971-05;-0.041924;-0.042124;0.450469;        0.200000
1971-06;-0.001533;-0.001733;0.459309;        0.200000
1971-07;-0.047842;-0.048042;0.678382;        0.200000
1971-08; 0.046009; 0.045809;0.621090;        0.200000
1971-09;-0.004426;-0.004626;0.448272;        0.200000
1971-10;-0.047838;-0.048038;0.328188;        0.200000
1971-11;-0.026802;-0.027002;0.596680;        0.200000
1971-12; 0.108964; 0.108764;0.593432;        0.200000
1972-01; 0.046964; 0.046764;0.514336;        0.200000
1972-02; 0.039200; 0.039000;0.671385;        0.200000
1972-03; 0.002086; 0.001886;0.408163;        0.200000
1972-04; 0.006310; 0.006110;0.784679;        0.200000
1972-05; 0.006955; 0.006755;0.530877;        0.200000
1972-06;-0.029526;-0.029726;0.694523;        0.200000
1972-07;-0.026532;-0.026732;0.874864;        0.200000
1972-08; 0.011620; 0.011420;0.691890;        0.200000
1972-09;-0.021852;-0.022052;0.662652;        0.200000
1972-10;-0.004914;-0.005074;0.160420;        0.160420
1972-11; 0.051521; 0.051321;0.717477;        0.200000
1972-12;-0.011297;-0.011497;0.749653;        0.200000
1973-01;-0.060385;-0.060585;0.601029;        0.200000
1973-02;-0.068137;-0.068337;0.633995;        0.200000
1973-03;-0.024472;-0.024672;0.449957;        0.200000
1973-04;-0.060863;-0.061063;0.817312;        0.200000
1973-05;-0.046120;-0.046320;0.770420;        0.200000
1973-06;-0.032529;-0.032729;0.400001;        0.200000
1973-07; 0.067278; 0.067078;0.618440;        0.200000
1973-08;-0.032504;-0.032704;0.442870;        0.200000
1973-09; 0.092600; 0.092400;0.438312;        0.200000
1973-10;-0.004025;-0.004225;0.512436;        0.200000
1973-11;-0.134408;-0.134608;0.451642;        0.200000
1973-12;-0.005613;-0.005813;0.907396;        0.200000
1974-01; 0.020801; 0.020601;0.746664;        0.200000
1974-02; 0.002193; 0.001993;0.338400;        0.200000
1974-03;-0.004063;-0.004263;0.795443;        0.200000
1974-04;-0.058132;-0.058332;0.503943;        0.200000
1974-05;-0.060575;-0.060775;0.760220;        0.200000
1974-06;-0.033088;-0.033288;0.496645;        0.200000
1974-07;-0.049893;-0.050093;0.304087;        0.200000
1974-08;-0.084626;-0.084826;0.515054;        0.200000
1974-09;-0.087274;-0.087474;0.710778;        0.200000
1974-10; 0.113207; 0.113007;0.354821;        0.200000
1974-11;-0.032931;-0.033131;0.395473;        0.200000
1974-12;-0.056524;-0.056724;0.477997;        0.200000
1975-01; 0.266386; 0.266186;0.496842;        0.200000
1975-02; 0.049502; 0.049302;0.859171;        0.200000
1975-03; 0.051770; 0.051570;0.343917;        0.200000
1975-04; 0.036794; 0.036594;0.634916;        0.200000
1975-05; 0.079695; 0.079495;0.488981;        0.200000
1975-06; 0.072342; 0.072142;0.979838;        0.200000
1975-07;-0.037117;-0.037317;0.670409;        0.200000
1975-08;-0.048172;-0.048372;0.515221;        0.200000
1975-09;-0.035219;-0.035419;0.541737;        0.200000
1975-10; 0.050900; 0.050700;0.570918;        0.200000
1975-11; 0.030474; 0.030274;0.563406;        0.200000
1975-12;-0.009237;-0.009437;0.679558;        0.200000
1976-01; 0.168816; 0.168616;0.498045;        0.200000
1976-02; 0.030267; 0.030067;0.475738;        0.200000
1976-03; 0.014840; 0.014640;0.344196;        0.200000
1976-04;-0.012335;-0.012535;0.680732;        0.200000
1976-05;-0.014477;-0.014677;0.896121;        0.200000
1976-06; 0.041131; 0.040931;0.645301;        0.200000
1976-07;-0.004745;-0.004945;0.589756;        0.200000
1976-08;-0.006817;-0.007017;0.206761;        0.200000
1976-09; 0.026060; 0.025860;0.551941;        0.200000
1976-10;-0.021275;-0.021475;0.505063;        0.200000
1976-11; 0.036244; 0.036044;0.431044;        0.200000
1976-12; 0.091464; 0.091264;0.599685;        0.200000
1977-01;-0.000460;-0.000660;0.695985;        0.200000
1977-02;-0.005339;-0.005539;0.594285;        0.200000
1977-03; 0.001017; 0.000817;0.585449;        0.200000
1977-04; 0.019707; 0.019507;0.540385;        0.200000
1977-05; 0.000005;-0.000195;0.265540;        0.200000
1977-06; 0.061516; 0.061316;0.485933;        0.200000
1977-07; 0.004053; 0.003853;0.700265;        0.200000
1977-08;-0.009559;-0.009759;0.526875;        0.200000
1977-09; 0.010749; 0.010549;0.591664;        0.200000
1977-10;-0.028942;-0.029142;0.548508;        0.200000
1977-11; 0.063321; 0.063121;0.621593;        0.200000
1977-12; 0.017847; 0.017647;0.671976;        0.200000
1978-01;-0.036194;-0.036394;0.280571;        0.200000
1978-02; 0.009452; 0.009252;0.622222;        0.200000
1978-03; 0.050133; 0.049933;0.421616;        0.200000
1978-04; 0.079338; 0.079138;0.362126;        0.200000
1978-05; 0.053584; 0.053384;0.523890;        0.200000
1978-06;-0.002668;-0.002868;0.876053;        0.200000
1978-07; 0.052361; 0.052161;0.796201;        0.200000
1978-08; 0.060407; 0.060207;0.628223;        0.200000
1978-09;-0.008844;-0.009044;0.255633;        0.200000
1978-10;-0.172628;-0.172828;0.590007;        0.200000
1978-11; 0.044322; 0.044122;0.534690;        0.200000
1978-12; 0.016487; 0.016287;0.199728;        0.199728
1979-01; 0.069694; 0.069500;0.194421;        0.194421
1979-02;-0.024497;-0.024697;0.620438;        0.200000
1979-03; 0.071244; 0.071044;0.550381;        0.200000
1979-04; 0.017846; 0.017646;0.674671;        0.200000
1979-05;-0.011295;-0.011495;0.509014;        0.200000
1979-06; 0.060712; 0.060512;0.516328;        0.200000
1979-07; 0.024097; 0.023897;0.848972;        0.200000
1979-08; 0.066761; 0.066561;0.554816;        0.200000
1979-09;-0.003410;-0.003610;0.579977;        0.200000
1979-10;-0.103436;-0.103636;0.423657;        0.200000
1979-11; 0.078558; 0.078358;0.645629;        0.200000
1979-12; 0.042690; 0.042490;0.364394;        0.200000
1980-01; 0.070989; 0.070789;0.248336;        0.200000
1980-02;-0.020739;-0.020939;0.645518;        0.200000
1980-03;-0.164895;-0.165095;0.362273;        0.200000
1980-04; 0.063623; 0.063423;0.660958;        0.200000
1980-05; 0.073509; 0.073309;0.264279;        0.200000
1980-06; 0.044696; 0.044496;0.383954;        0.200000
1980-07; 0.092241; 0.092041;0.620804;        0.200000
1980-08; 0.050444; 0.050244;0.479201;        0.200000
1980-09; 0.030047; 0.029847;0.560880;        0.200000
1980-10; 0.042736; 0.042536;0.946963;        0.200000
1980-11; 0.081933; 0.081733;0.568563;        0.200000
1980-12;-0.031928;-0.032128;0.824806;        0.200000
1981-01;-0.017477;-0.017677;0.243731;        0.200000
1981-02; 0.021410; 0.021210;0.704450;        0.200000
1981-03; 0.055739; 0.055539;0.595840;        0.200000
1981-04;-0.002184;-0.002384;0.289807;        0.200000
1981-05; 0.026830; 0.026630;0.693276;        0.200000
1981-06;-0.016209;-0.016409;0.815732;        0.200000
1981-07;-0.018450;-0.018650;0.893131;        0.200000
1981-08;-0.068716;-0.068916;0.297903;        0.200000
1981-09;-0.076061;-0.076261;0.592512;        0.200000
1981-10; 0.072968; 0.072768;0.245233;        0.200000
1981-11; 0.040171; 0.039971;0.596239;        0.200000
1981-12;-0.021092;-0.021292;0.257610;        0.200000
1982-01;-0.035693;-0.035893;0.483170;        0.200000
1982-02;-0.042848;-0.043048;0.601059;        0.200000
1982-03;-0.008724;-0.008924;0.615610;        0.200000
1982-04; 0.050838; 0.050638;0.364937;        0.200000
1982-05;-0.028798;-0.028998;0.421076;        0.200000
1982-06;-0.023311;-0.023511;0.400762;        0.200000
1982-07;-0.017695;-0.017895;0.529478;        0.200000
1982-08; 0.117672; 0.117472;0.457721;        0.200000
1982-09; 0.036249; 0.036049;0.513454;        0.200000
1982-10; 0.146689; 0.146489;0.485612;        0.200000
1982-11; 0.082775; 0.082575;0.628515;        0.200000
1982-12; 0.013965; 0.013765;0.566272;        0.200000
1983-01; 0.068878; 0.068678;0.666838;        0.200000
1983-02; 0.045330; 0.045130;0.636691;        0.200000
1983-03; 0.040492; 0.040292;0.759967;        0.200000
1983-04; 0.077293; 0.077093;0.542448;        0.200000
1983-05; 0.046455; 0.046255;0.814532;        0.200000
1983-06; 0.038499; 0.038299;0.428701;        0.200000
1983-07;-0.024905;-0.025105;0.673618;        0.200000
1983-08;-0.021935;-0.022135;0.678685;        0.200000
1983-09; 0.012857; 0.012657;0.909775;        0.200000
1983-10;-0.055578;-0.055778;0.503436;        0.200000
1983-11; 0.036772; 0.036572;0.792473;        0.200000
1983-12;-0.016504;-0.016704;0.742869;        0.200000
1984-01;-0.020910;-0.021110;0.448194;        0.200000
1984-02;-0.053947;-0.054147;0.422393;        0.200000
1984-03; 0.015809; 0.015609;0.503319;        0.200000
1984-04;-0.004307;-0.004507;0.629012;        0.200000
1984-05;-0.051703;-0.051903;0.862376;        0.200000
1984-06; 0.035215; 0.035015;0.872563;        0.200000
1984-07;-0.035751;-0.035951;0.571198;        0.200000
1984-08; 0.115290; 0.115090;0.320872;        0.200000
1984-09;-0.002127;-0.002327;0.698278;        0.200000
1984-10;-0.009501;-0.009701;0.701847;        0.200000
1984-11;-0.023387;-0.023587;0.603861;        0.200000
1984-12; 0.025589; 0.025389;0.813600;        0.200000
1985-01; 0.084429; 0.084229;0.458487;        0.200000
1985-02; 0.028765; 0.028565;0.672911;        0.200000
1985-03;-0.011639;-0.011839;0.574955;        0.200000
1985-04;-0.000813;-0.001013;0.467552;        0.200000
1985-05; 0.064200; 0.064000;0.694442;        0.200000
1985-06; 0.024826; 0.024626;0.533301;        0.200000
1985-07; 0.004916; 0.004716;0.553126;        0.200000
1985-08;-0.005160;-0.005360;0.476917;        0.200000
1985-09;-0.050251;-0.050451;0.502889;        0.200000
1985-10; 0.052251; 0.052051;0.521788;        0.200000
1985-11; 0.067200; 0.067000;0.715354;        0.200000
1985-12; 0.039620; 0.039420;0.812542;        0.200000
1986-01; 0.026871; 0.026671;0.935838;        0.200000
1986-02; 0.074239; 0.074039;0.388884;        0.200000
1986-03; 0.048848; 0.048648;0.375375;        0.200000
1986-04; 0.002220; 0.002020;0.871822;        0.200000
1986-05; 0.041460; 0.041260;0.916575;        0.200000
1986-06; 0.012655; 0.012455;0.406860;        0.200000
1986-07;-0.071981;-0.072181;0.362169;        0.200000
1986-08; 0.057569; 0.057369;0.381404;        0.200000
1986-09;-0.066839;-0.067039;0.377698;        0.200000
1986-10; 0.057035; 0.056835;0.709360;        0.200000
1986-11;-0.002414;-0.002614;0.758417;        0.200000
1986-12;-0.032745;-0.032945;0.684945;        0.200000
1987-01; 0.114194; 0.113994;0.787896;        0.200000
1987-02; 0.074659; 0.074459;0.519167;        0.200000
1987-03; 0.016518; 0.016318;0.815059;        0.200000
1987-04;-0.020089;-0.020289;0.751777;        0.200000
1987-05; 0.000600; 0.000400;0.831153;        0.200000
1987-06; 0.030721; 0.030521;0.782376;        0.200000
1987-07; 0.041882; 0.041682;0.619160;        0.200000
1987-08; 0.032710; 0.032510;0.781795;        0.200000
1987-09;-0.021132;-0.021332;0.576806;        0.200000
1987-10;-0.251578;-0.251778;0.536187;        0.200000
1987-11;-0.048639;-0.048839;0.395020;        0.200000
1987-12; 0.082372; 0.082172;0.291990;        0.200000
1988-01; 0.044927; 0.044727;0.273455;        0.200000
1988-02; 0.062693; 0.062493;0.360443;        0.200000
1988-03; 0.005652; 0.005452;0.441063;        0.200000
1988-04; 0.006916; 0.006716;0.603794;        0.200000
1988-05;-0.011673;-0.011873;0.508885;        0.200000
1988-06; 0.061625; 0.061425;0.329947;        0.200000
1988-07;-0.008434;-0.008634;0.669839;        0.200000
1988-08;-0.022386;-0.022586;0.318385;        0.200000
1988-09; 0.027382; 0.027182;0.475848;        0.200000
1988-10; 0.003348; 0.003148;0.367325;        0.200000
1988-11;-0.026718;-0.026918;0.345055;        0.200000
1988-12; 0.032097; 0.031897;0.645945;        0.200000
